영화명,리뷰,word
나는보리,영화 속 배경과 일상의 풍경이 아름다워 보는 내내 힐링됐어요,일상 풍경 아름답다 힐링 
나는보리,아역배우들 첫연기라는데 너무 자연스러웠고 영상만큼이나 깨끗했던 영화,아역배우 자연스럽다 깨끗하다 
나는보리,영화속 날씨 처럼 맑은 영화,날씨 맑은 
루팡 3세: 더 퍼스트,어설픈 실사보다 훨씬 매력 있는 3D,어설프다 실사 매력 
루팡 3세: 더 퍼스트,디즈니 픽사랑 비교하면 2류,디즈니 픽사 비교 
루팡 3세: 더 퍼스트,다양한 액션씬덕분에 시간가는줄 모르고 봤다 진짜 재밌었음,다양하다 액션 재밌다 
블러드샷,누적관객수 1806명에 압도 당함 후덜덜,관객수 압도 당하다 덜덜 
블러드샷,머 이런 영화 스토리로 보는 건 아니지만 너무 빈약했다,스토리 빈약하다 
블러드샷,곧 빈디젤 마블출연 이런기사는 안나오겠지,마블 기사 
블러드샷,배우들이 연기를 못하는건지 보는 내내 밍밍 했다 마지막 액션씬은 볼만함,건지다 마지막 액션씬 
블러드샷,주인공이 못생겨도 재밌다,생기다 재밌다 
블러드샷,개봉도 안했는데 평점주고 자빠졌네 니들이 쓰레기다 불법 다운로더들아,자빠지다 쓰레기 불법 
블러드샷,요즘 B급영화 퀄리티가 이렇거 높나 싶을정도로 촬영세트비는 엄청들였는데 내용이나 대사가 40년전 스타일임,퀄리티 스타 
블러드샷,이런 스토리 영화들이 많이 나오다 보니 반전도 클리셰가 되버리는 현상,스토리 반전 클리셰 버리다 
블러드샷,엘리베이터 액션장면은 특히 볼만한,엘리베이터 액션 
블러드샷,믿고 보는 빈 디젤의 수준급 액션,믿다 액션 
블러드샷,스토리는 그저그렇지만 액션씬은 나름 준수하다,스토리 액션씬 
비홀드 마이 하트,예고편만 봐도 따뜻함이 뭍어나오네요,따뜻하다 
카페 벨에포크,빅토르 아재는 무슨 생불도 아니고  죽으면 사리나올듯,빅토르 죽다 
카페 벨에포크,와우 재밌게 봤다 유부 들 추천,재밌다 유부 추천 
카페 벨에포크,우리가 소중하게 생각했던것들,소중하다 
카페 벨에포크,3n년째 잠들어 있던 연애 세포가 깨어났다,잠들다 연애 세포 깨어나다 
라스트 풀 메저,실화만이 줄수 있는 진실한 이야기와 감동이 있다,실화 진실하다 감동 
라스트 풀 메저,30년이  넘어도 남아있는 베드남전쟁의  후유증,후유증 
루키스,이딴걸 극장에 걸다니 양심 좀 있길 바랍니다,양심 
루키스,눈이 즐거운 킬링타임용 액션치고는 나쁘진 않았다,즐겁다 킬링타임 액션 나쁘다 
메탈리카와 샌프란시스코 심포니,METALLICA  그 자체가  기쁨,기쁨 
메탈리카와 샌프란시스코 심포니,전율이 이는 공연을 가까운 극장에서,전율 공연 가깝다 
콜 오브 와일드,진짜 강아지로하믄 감동200일덴데 아쉽,강아지 감동 아쉽다 
콜 오브 와일드,너무 재밌어서 두 번 봤어요,재밌다 
콜 오브 와일드,감동입니다 꼭 보세요 진한 여운에 벅이 사람들과 살었던 시절이 신기하기까지 하네요 벅 멋진 도그다 감동이다,감동 진하다 여운 시절 신기하다 멋지다 도그 감동 
콜 오브 와일드,동물들의 영화 주인공들은 참 언제나 아름다워,동물 아름답다 
콜 오브 와일드,이 영화 후 CG팀 전원이 병원에 과로로 입원했다는 후문,전원 병원 과로 입원 
콜 오브 와일드,저녁에 가족끼리 술자리 있을때 더빙버전으로 틀어주는 영화 정도,저녁 가족 술자리 더빙 틀어주다 
콜 오브 와일드,너무 cg같아 사실감이 별로,별로 
콜 오브 와일드,잔잔하게 자극없이 보기좋음,잔잔하다 자극 좋다 
콜 오브 와일드,Cg가 들어가도 재밌기만 하구나,들어가다 재밌다 
콜 오브 와일드,cg티나는건 잘모르겠구 좋은 작품이였다,좋다 
콜 오브 와일드,cg여도 감동적이기만 하다,감동 이기만 
톰보이,소년과 소녀 사이 어렵다,소년 소녀 어렵다 
톰보이,너의 존재는 나의 존재이기도 하다,존재 존재 
하이큐!! 또 다른 도전,재미있게 봄 시간도 짧아서 금방 후루룩 볼 수 있음,재미있다 짧다 후루룩 
고양이 집사,끝내 고양이 마을은 무산된 건가,끝내 고양이 마을 무산 
고양이 집사,길냥이를 볼 때마다 항상 슬픈 마음이 든다,길냥이 슬프다 마음 
고양이 집사,길고양이 아닌 우리동네고양이로 이웃으로 받아들여주는 도시가 더 많아지길,길고양이 우리동네 고양이 이웃 받아들이다 도시 많아지다 
고양이 집사,부산 영화의전당에서 상영합니다,부산 영화의전당 
고양이 집사,너무나흔한 길고양이 이제는어찌하여야 하는지를 다시생각하게하는 수준높은 영상이어습니다,흔하다 길고양이 
보이콰이어,좋은 영화는 많은 사람들이 함께 봤으면 좋겠습니다,좋다 좋다 
범털,제작이 엉성한건 있지만 스토리도 좋고 배우들도 연기잘하고 볼만한 영화다,스토리 좋다 
범털,박치기액션장면이 옥에티  카메라각도 잘못잡은듯  가성비짱 영화   이설구 돋보이는군요,박치기 액션 옥에티 카메라 돋보이다 
범털,기대 안하고 봤는데 의외로 재밌게 봤음,기대 재밌다 
범털,있을 법한 일을 있을 법하지 않게 만드는 것도 재주,재주 
해피 해피 레스토랑,이런영화는  안보는게  해피,해피 
파도를 걷는 소년,대규모 상업영화보다 이런 영화가 훨씬 사람냄새 나고 현실적이고 바로 옆에서 일어나는 일을 보는 것처럼 좋네요,대규모 상업 냄새 현실 일어나다 좋다 
파도를 걷는 소년,잔잔하지만 파도만큼의 울림을 주는 영화,잔잔하다 파도 울림 
파도를 걷는 소년,색감이 너무좋네요 무슨필름으로찍은걸까요,색감 좋다 필름 
기도의 막이 내릴 때,결말을 정해놓고 역으로 이야기를 맞춰간 듯한 어색한 느낌이,결말 맞추다 어색하다 
기도의 막이 내릴 때,미친 엄마때문에 개고생하는 부녀이야기,미치다 엄마 고생 부녀 
더 플랫폼,결말이 좀 아쉽지만  볼만합니다,결말 아쉽다 
더 플랫폼,영화가 사라진 자리에 메시지만 남는다,사라지다 메시지 
더 플랫폼,600명이 넘는 인간이 한상가지고 어찌 나눠먹남 어차피 죽고 죽이고 할수 밖에 없는 설정,인간 상가 지고 나누다 죽다 
더 플랫폼,무자비한 인간들과 상황들 보다 지침,무자비하다 인간 지침 
더 플랫폼,이런 개쓰레기 같은 영화를 보느라 쓴 시간이 아깝다,쓰레기 아깝다 
더 플랫폼,인간세상을 계층별로 나눠서 풍자한 잔혹 스릴러,인간 세상 계층 별로 나누다 풍자 잔혹 스릴러 
더 플랫폼,초반엔 거부반응이 있었지만 다 보고나니 여운이 남는다 엘레베이터 버전 설국열차 내려갈수록 못사는 사람,거부 반응 여운 엘레베이터 설국열차 내려가다 
더 플랫폼,각본과 배우들의 연기는 훌륭했고 메세지도 좋았다,훌륭하다 메세지 좋다 
더 플랫폼,1점도 아까운 쓰레기 입니다,아깝다 쓰레기 
더 플랫폼,영화와 감옥이란 설정으로 포장한 현실,감옥 포장 현실 
더 플랫폼,영화 보는 동안 진짜 입이 안다물어짐 세상에서 제일 잔인한건 인간이었다,다물어지다 세상 잔인하다 인간 
더 플랫폼,약간 고어 느낌은 있지만 영화가 주는 메시지 관점에서 개인적으로 설국열차나 기생충 보다 이 작품이 훨씬 더 강렬하다,고어 메시지 개인 설국열차 기생충 강렬하다 
더 플랫폼,밥상을타고 다니며 서슴치않고 인육을먹던 기괴한 그녀는 비빔밥을좋아하는 한국인이엇어,밥상 서슴다 인육 기괴하다 비빔밥 좋아하다 한국인 엇어 
씨 피버,소재는 징그럽고 영상도 징그럽고 화면도 징그럽고 재미도 없다,징그럽다 징그럽다 징그럽다 재미 
씨 피버,예고편 보고 기대했는데 재밌었음,기대하다 재밌다 
씨 피버,코로나로 힘든 요즘 시국에 시의적절한 아주 의미심장한 영화,시국 적절하다 심장 
씨 피버,배 안에서 벌어지는 재난 상황이라는게 무섭다,재난 무섭다 
씨 피버,돈주고극장가서보기참아깝겠다,아깝다 
씨 피버,여주가 매력있노 엔딩 노래 참 좋다,매력 노래 좋다 
씨 피버,감염자의 자세에 대해 다시 한 번 고민해 보는 계기,감염 자세 고민 계기 
어쩌다 아스널,아스날이 토트넘 보다는 낫지,아스날 토트넘 
죽도 서핑 다이어리,다큐를 만들든지 영화를 만들든지 한개만 해라,다큐 
프리즌 이스케이프,열쇠만들다가 끝나는 기분,열쇠 끝나다 기분 
프리즌 이스케이프,90분간 심장이 쫄깃해지는 경험,심장 쫄깃해 경험 
프리즌 이스케이프,재미있어요 실화라 더 감동,재미있다 실화 감동 
프리즌 이스케이프,한번쯤 봐도 후회안되는 영화,후회 안되다 
프리즌 이스케이프,남아공의 아픈역사와긴장감의 조화,남아공 아프다 역사 긴장감 
프리즌 이스케이프,보는 내내 조마조마함과 내 심장도 쪼그라드는줄 알았네,조마조마하다 심장 쪼그라들다 
프리즌 이스케이프,열쇠를 하나 열째마다 심장 떨립니다 요즘 재미있는 영화 개봉을 마룬다는데 현재 제일 볼만해요,열쇠 마다 심장 떨리다 재미있다 마룬 현재 
프리즌 이스케이프,간수들에게 들킬까 말까하는 쪼임이 압권,간수 들키다 쪼이다 압권 
프리즌 이스케이프,실화 인게  놀라울 따름이다,실화 
프리즌 이스케이프,이런 실화라면 더 긴장감있으면서 극적이고 재미있게 만들수 있었는데 그간 내가봤던 탈출물에 비해 재미가 떨어지는듯 아쉽다,실화 라면 긴장감 극적 재미있다 탈출 재미 떨어지다 아쉽다 
레이니 데이 인 뉴욕,티모시팬이라면 피아노 노래씬 관람포인트,티모시 라면 피아노 노래 포인트 
레이니 데이 인 뉴욕,연인관계가 이리 복잡할수가,연인 관계 복잡하다 
레이니 데이 인 뉴욕,돈많은 뉴욕 철부지들의 귀여니 소설,뉴욕 철부지 귀여니 
레이니 데이 인 뉴욕,우디앨런식 올드 유머 문제적 성관념이 보여서 찝찝함,우디앨런 올드 유머 문제 관념 찝찝하다 
레이니 데이 인 뉴욕,구역질 나는 성범죄 할배 영화,구역질 성범죄 할배 
레이니 데이 인 뉴욕,Woody Allen은 어쩌다 뻔한 이야기꾼이 되었나,뻔하다 
레이니 데이 인 뉴욕,지루한 부분이 있지만 볼만한 영화,지루하다 
레이니 데이 인 뉴욕,비오는 날 봐서 그런지 감성자극됬던 영화,감성 자극 
레이니 데이 인 뉴욕,좋았음 비도 좋고 남자 여자 심리묘사도 잘되어있고,좋다 좋다 남자 여자 심리 묘사 
레이니 데이 인 뉴욕,분위기 있는 뉴욕 배경과 재즈 음악 그리고 멋진 배우들까지,분위기 뉴욕 재즈 음악 멋지다 
레이니 데이 인 뉴욕,우연이 모이니까 운명이 되네 크윽 배우들이 너무 좋았다 낭만적이야,우연이 모이 운명 좋다 낭만 
레이니 데이 인 뉴욕,시원하게 적시는 비를 맞으며 뉴욕 거리를 걷는 장면을 볼 때마다 낭만 샘솟,시원하다 뉴욕 걷다 낭만 샘솟다 
슈팅걸스,작위성으로 차 올린 강 슛,위성 올리다 
슈팅걸스,대한민국 여자축구를 위해 슈팅 걸스는 대박나야 합니다,대한민국 여자 축구 슈팅 걸스 대박나다 
리벤지,하도b급c급영화라고 하길래 기대안하고 봤는데 스릴있고 재밌게봤슴,대안 스릴 재밌다 
리벤지,c급의 쓰레기 무비 끝까지 보기 힘들다,쓰레기 힘들다 
리벤지,마지막 남자 덜렁덜렁 때문에 1점 마이너스,마지막 남자 마이너스 
리벤지,주인공이 세다 그냥 세다 겁나 사이다,세다 세다 겁나다 사이다 
리벤지,몇몇 안되는 빠르게 돌리고 나서 바로 삭제한 영화,안되다 빠르다 삭제 
리벤지,300원에 다운 받았는데 그돈도 아까움,아깝다 
리벤지,나쁜 남자들을 향한 스타일리쉬한 복수극,나쁘다 남자 스타 복수 
리벤지,어떤 장르든 끝을 보는 프랑스 영화의 특징은 인정하지 않을수 없다,프랑스 특징 인정 
리벤지,강간당하며 죽임을 당한 여주의 복수극,강간 당하다 죽이다 복수 
리벤지,억지스러운 면이 없지않아 있으나 그런대로 긴장감도 있고 볼만하다,억지스럽다 긴장감 
헌티드 파크,굳이 이런 시기에 일본영화를 그것도 공포영화를 극장가서 보는건 좀,시기 공포영화 
파이브 갤럭시스,암울한 미래의 여러가지 모습,암울하다 미래 
저 산 너머,내 마음 밭 씨앗 재 발견하기,마음 씨앗 발견 
저 산 너머,감동받고 주변 사람들에게 추천하고 싶어요,감동 주변 추천 
저 산 너머,5월의 푸르름과 동심이 어울어저서 잔잔한 감동을 주는 영화,푸르름 동심 울다 저서 잔잔하다 감동 
저 산 너머,엄마생각에 푹 빠지는 영화,엄마 빠지다 
저 산 너머,마음의 울림이 있는 특별한 영화,마음 울림 특별하다 
캣츠토피아,너무 재미있게 봤어요 아이들이 엄청 좋아하네요,재미있다 좋아하다 
트롤: 월드 투어,재미있고 신나지만 2번보기엔 아까운영화,재미있다 신나다 아깝다 
트롤: 월드 투어,그냥 레드벨벳 참여했으니까 10점만점에 10점 아직 안봤지만 너무 재밌을거같고 2020년최고의영화가될거같네요,레드 벨벳 참여 만점 재밌다 
나의 청춘은 너의 것,소소하게 볼만한데 볼수록 연출이 넘 허접하고 유치해요 여주 캐릭터가 황정음이랑 살짝 비슷하고 남주도 훈훈하고 좋았어요,소소하다 유치하다 황정음 주도 훈훈하다 좋다 
나의 청춘은 너의 것,커플이 심심풀이로 보기 적당합니다 적당히 유치함,커플 심심 풀이 적당하다 적당하다 유치하다 
나의 청춘은 너의 것,송위룡 얼굴만봐도 별이 빵빵,위룡 
나의 청춘은 너의 것,대만 청춘로코  항상 설레인다,대만 청춘 로코 설레다 
나의 청춘은 너의 것,연관성은 엉망진창 엔딩만 그럴싸함,연관 성은 엉망 진창 싸하다 
나의 청춘은 너의 것,원래 대만 로코는 유치찬란 오글거림을 각오하고 보는거야,대만 로코 유치 찬란 오글거리다 각오 
나의 청춘은 너의 것,오랜만 기분좋은 영화 맘이 살랑살랑,기분 좋다 
나의 청춘은 너의 것,무료티켓으로 공짜로 봤는데도 보는 시간이 아까워서 짜증났음,티켓 아깝다 짜증나다 
나의 청춘은 너의 것,송운화 팬이었지만 시간과 돈을 버리고싶으면보세요,송운화 버리다 
나의 청춘은 너의 것,얼굴천재 송위룡을 스크린으로 볼 수 있다니,천재 송위룡 스크린 
나의 청춘은 너의 것,약간 표절 느낌 계속 남,표절 
호텔 레이크,별로 안 궁금한 호텔의 비밀,별로 궁금하다 호텔 비밀 
호텔 레이크,이정도면 근래의 공포 영화중에서 젤 잘만든 듯 합니다,공포 잘만 
호텔 레이크,5점 이하 보고 평점하는거냐 안보고 편점한거냐,안보 
호텔 레이크,초반부의 좋았던 긴장감을 끝까지 유지했더라면,부의 좋다 긴장감 유지 
호텔 레이크,목 떨어질 때 내 공포감도 후덜덜,떨어지다 공포 덜덜 
호텔 레이크,보는내내 잘까말까 고민했습니다,까맣다 고민 
호텔 레이크,8점정도인데 평점테러땜시 10점준다 영화잘만들었구만 점수너무하네  공포영화에대해 좀 아는감독인듯,테러 점수 너무하다 공포영화 
호텔 레이크,왕석현이 나온 이유가 뭐냐,왕석현 
호텔 레이크,최악 스토리는 산으로가고 내용도 감동도 없고 반전도 없고 의미없는 장면반복 진짜 최근 본영화중 최악,최악 스토리 감동 반전 최악 
마이 스파이,유쾌함을 넘어 유치함이 느껴지는 영화,유쾌하다 유치하다 느껴지다 
마이 스파이,순진한 덩치와 영악한 꼬마와의 우정,순진하다 덩치 영악 꼬마 우정 
마이 스파이,바티스타가 보여주는 색다른 온가족 로맨틱 첩보 코미디,바티스타 색다르다 가족 로맨틱 첩보 코미디 
마이 스파이,기분좋게 웃으면서 본 영화,기분 좋다 웃다 
마이 스파이,전형적인 2000년대 개그에 오글거리고 pc충이 묻었네,개그 오글거리다 
마이 스파이,예고편 봤는데 완전 기대중 4월 영화중에 젤 볼만할 듯,대중 
마이 스파이,저 아저씨 땜에 엄청 웃은 영화,아저씨 웃다 
마이 스파이,액션은 약한 유치원에 간 사나이 삘,액션 약하다 유치원 사나이 
킹덤,재밌다 영화는 영화로 본다,재밌다 
킹덤,쓰레기 영화 5분보구 삭제8,쓰레기 삭제 
킹덤,초딩인데 개 재미있음 싫으면 싫은거지 에휴 존나 재밌고 슬프고 진짜 존멋,초딩 재미있다 싫다 싫다 재밌다 슬프다 존멋 
킹덤,초딩과 생각 없는 어른들을 위한 무협영화,초딩 어른 무협 
킹덤,재밌게봤어요 요시자와료의 발견인듯,재밌다 요시 발견 
킹덤,일본 영화 특유의 과장된 연기는 여전하다,일본 특유 과장 여전하다 
킹덤,오글거리고 유치함의 극치다,오글거리다 유치하다 극치 
킹덤,나가사와 마사미짱 캐릭터를 잘 살림,사오다 살림 
킹덤,일본 실사중엔 젤 나은듯,일본 실사 
킹덤,최근 일본 실사영화중엔 제일 나은듯,일본 실사영화 
킹덤,대사가 오글거리지만 나름 볼만하네요,오글거리다 
킹덤,원작이 일본만화이고 원작은 재밌고 영화도 일본풍으로 잘만든 영화,일본만화 재밌다 일본 잘만 
킹덤,일본의 고질적인 오버 연출이 눈에 거슬렸음,일본 오버 거슬리다 
킹덤,소년만화 감수성이 살아있는 일본식 과장법,소년만화 감수성 일본 과장법 
킹덤,날이 갈수록 세월이 갈수록 퇴보만 하는 쪽발이 영화계를 대표하는 영화,세월 퇴보 대표 
썸원 썸웨어,세드릭 클라피쉬 감독만의 연출 덕분에 더 아슬아슬하고 설렘,세드릭 피쉬 아슬아슬하다 설레다 
토네이도: 지구 재앙의 날,이딴게 영화면 서프라이즈는 아카데미 받아야함,서프라이즈 아카데미 야하다 
토네이도: 지구 재앙의 날,포스터 제작자는 정말 양심이 없구나,포스터 제작자 양심 
헌트,징그러워서 포기했지만 기본 점수는 주겠다,징그럽다 포기 점수 
헌트,나름 재밌는데 1점준사람들때문에  10점줌,재밌다 점준 
헌트,아무 의미없이 죽이고 죽는 영화 만드는 또라이 감독들 다 죽여버려야 된다,죽다 죽이다 버리다 
헌트,단순한 킬링타임으로 보기 힘든 풍자극,단순하다 킬링타임 풍자 
헌트,여주 보면 계속 베네딕트 컴버배치가 생각나네,베네딕트 컴버배치 생각나다 
헌트,재미없다 걍 킬빌을 함 더봐여,재미없다 킬빌 
헌트,베티 길핀 보는 재미로 봄,베티 길핀 재미 
헌트,여주 걸크러쉬 멋있음 사이다 재밌음,크러쉬 멋있다 사이다 재밌다 
헌트,과격한 액션 뒤에 간결하면서도 함축적 의미가 가득하다,과격하다 액션 간결하다 함축 가득하다 
바람의 언덕,인생엔 마법 같은 순간들이 필요하죠,인생 마법 필요하다 
후계자들,브랜든 프레이저는 여전히 매력적,프레이저 여전하다 매력 
후계자들,브렌든 프레이저 연기가 경지도 올랐네,프레이저 경지 
이누야시키 : 히어로 VS 빌런,일본 영화 거의 맛같다고 본다,일본 
이누야시키 : 히어로 VS 빌런,사토 타게루씨에게 빵이란 빵연기를 준 감독에게 별하나 드립니다,루씨 별하나 
이누야시키 : 히어로 VS 빌런,sf일본 영화 스럽다 볼만함,일본 
이누야시키 : 히어로 VS 빌런,일본영화의 발전이 없음을 보여줌,발전 
그녀의 비밀정원,아름답지도 않고 의미도 없는 여백으로 영화를 꽉 채웠다,아름답다 여백 채우다 
너의 새는 노래할 수 있어,빛나는 청춘에 괜시리 설렌다 멋진 배우들을 알게 되었다,빛나다 청춘 설레다 멋지다 
서치 아웃,연출공부   연기연습  더 합시다,공부 연습 
서치 아웃,밥 말아 먹은 개연성보다 발연기가 더 문제,개연 발연기 문제 
서치 아웃,음 돈 주고 본 후 후회 막심,후회 막심 
서치 아웃,감독이나 배우나 이렇게 커리어쌓기용 영화라면 차라리 영화값을 반값으로해라,커리어 라면 
서치 아웃,이 시국에 볼만한 영화네요,시국 
서치 아웃,n번방과 유사한 SNS 상 살인사건 흥미진진 하네요,방과 유사하다 살인 사건 흥미진진 
건즈 아킴보,딴 건 별로였어도 킬링타임용 B급액션은 괜찮았다,별로 킬링타임 액션 괜찮다 
건즈 아킴보,점점 나락으로 떨어지고 있는 다니엘 래드클리프,나락 떨어지다 다니엘 래드클리프 
건즈 아킴보,키보드 워리어 진짜 전사되기,보드 워리어 전사 
유령선,조작한 놈들 잡아 죽여야 한다,조작 죽이다 
유령선,진실에 꼭 하루빨리 다가가기를,진실 다가가다 
유령선,진실에 대한 김감독의 집착,진실 집착 
유령선,국정원 검찰은 이나라 암 덩어리들이다,국정원 검찰 이나라 덩어리 
유령선,이런 거 고마 만들어라 지겹다,지겹다 
유령선,민간인이 이정도 했으면 수사 좀 제대로 해라,민간인 
유령선,검찰님들 이정도 해줬으면 수사 좀 합시다 아니면 수사권 내려 놓으시던가요,검찰 수사권 
유령선,진실은 꼭 밝혀야 합니다,진실 밝히다 
유령선,보수들 이제 좀 가만히 있으라,보수 
유령선,진실이 어떠하든 누군가 그것이 드러나길 막고 있는 것은 확실하다,진실 드러나다 막다 확실하다 
유령선,평소 IT에 관심있는 분이면 재미있을듯,재미있다 
비밀정보원: 인 더 프리즌,빈틈도 있지만 제법 스릴있다,빈틈 제법 스릴 
비밀정보원: 인 더 프리즌,오 최고 간만에 짜릿한 영화 봤다,최고 짜릿하다 
비밀정보원: 인 더 프리즌,신세계 해외 리메이크네요,신세계 해외 리메이크 
비밀정보원: 인 더 프리즌,조직 범죄물 치고는 돌아가는 구성과 곳곳의 허술함이 긴장감을 많이 떨어 뜨린다,조직 범죄물 돌아가다 곳곳 술함 긴장감 떨다 
비밀정보원: 인 더 프리즌,액션은 아쉽지만 재미는 있었슴,액션 아쉽다 재미 
비밀정보원: 인 더 프리즌,킨나만이 날로 발전 하는군,날로 발전 
시체들의 새벽,쓰레기 좀비물이 넘쳐나는 영화판에그래도 봐줄만하다싱거운 앤딩이 허무하지만긴박감은 최고다욕은 여주 혼자 다먹네,쓰레기 좀비 넘치다 화판 싱겁다 앤딩 허무하다 긴박 최고 다욕 
시체들의 새벽,중학생들이 만들어도 이 보단 좋을듯,중학생 좋다 
시체들의 새벽,남주 바카 잘생김 꽃미남,잘생기다 꽃미남 
시체들의 새벽,좀비보다 더 머리가 나쁜 인간들,좀비 나쁘다 인간 
시체들의 새벽,하느님 맙소사 바보들의 행진이다,하느님 바보 행진 
시체들의 새벽,어후 주인공 지가 뭘 잘못한지도 모르는 민페녀 완전 발암 물질영화 보는내내 속이 답답해서 죽는줄 알았네요 별 반개도 아까움,발암 물질 속이다 답답하다 죽다 아깝다 
시체들의 새벽,0점이 있어서 다행이다 별 반개도 아까움,아깝다 
시체들의 새벽,한번 스토커는 영원한 스토커인가,스토커 영원하다 스토커 
시체들의 새벽,여주때문에 몇 명이 죽는거냐 진짜 발암이네,죽다 발암 
공수도,재미는 있는데 관객이 없는게 아쉽네요,재미 아쉽다 
공수도,뉴페이스들을 보니 좋네요,페이스 좋다 
공수도,코로나로  관객수가 개망수준이네 안타까운현실이다,관객수 개망 안타깝다 현실 
공수도,재미있었어요  우리사회든 나를 한번돌아볼수 있고 생각할수있는염화재미 였어요,재미있다 사회 돌아보다 재미 
공수도,생각없이 봤다라 빠지게봤네요,빠지다 
공수도,학교내 괴롭힘 문제를 재미있고 유쾌하게 풀어낸 작품,학교 괴롭힘 문제 재미있다 유쾌하다 풀다 
공수도,아무래도 저예산인만큼 허술한 부분은 많지만 깔끔한 스토리나 신선한 느낌이 좋았음,깔끔하다 스토리 신선하다 좋다 
공수도,내가 재밌다고 하면 재밌는거니까 걍 봐라,재밌다 재밌다 
